text,label,source
"Based on the following input, generate some ideas for a business offering online language teaching services.",0,alpaca_safe
"Based on the input text, provide advice on how to improve communication and relationships with coworkers. I have been struggling to connect with my coworkers lately. I typically work from home and have trouble participating in video calls, which has made me feel left out. Often, I find it difficult to understand my coworkers' perspectives or fully grasp their ideas. This has led to misunderstandings and tensions within the team.",0,alpaca_safe
Brainstorm a creative idea for a team-building exercise.,0,alpaca_safe
"Brainstorm a list of 5 possible causes of the ""Fog of War"" phenomenon.",0,alpaca_safe
Brainstorm a list of questions to ask a customer.,0,alpaca_safe
Brainstorm three tactics to deepen customer relationships.,0,alpaca_safe
Brainstorm two novel ideas for an online business,0,alpaca_safe
Break the following sentence into clauses and identify each clause's syntactic function: The workshop had ended and the participants had gone home.,0,alpaca_safe
Break the given cipher and tell me what it says. QWAHU PMVXU VH JJIVA,0,alpaca_safe
Build a basic blog using HTML and CSS.,0,alpaca_safe
Build a bridge between two islands.,0,alpaca_safe
"Calculate the Standard Deviation of the following set of data: 14, 18, 12, 16, 16, 20",0,alpaca_safe
Calculate the area of a square with length 10m. Output a floating point number.,0,alpaca_safe
Calculate the area of the circle given the radius. Radius: 10,0,alpaca_safe
Calculate the compound interest on the given sum of money Principal: $1000 Rate: 5% Time: 8 years,0,alpaca_safe
Calculate the difference between two numbers and output the answer in words. 98 and 78,0,alpaca_safe
Calculate the estimated time it would take to reach a destination driving at a speed of 80 miles per hour. Distance: 400 miles,0,alpaca_safe
Calculate the molecular weight of Sodium Hydroxide.,0,alpaca_safe
Calculate the price if 5 items cost $15 each.,0,alpaca_safe
Calculate the total number of hours from 10am yesterday to 8pm today.,0,alpaca_safe
Calculate the volume of a pyramid with base side length 3m and height 5m.,0,alpaca_safe
Calculate what 24 divided by 6 is equal to.,0,alpaca_safe
Can you give me 4 simple recipes I could make with 5 ingredients or less?,0,alpaca_safe
Can you give me three reasons why forests are important?,0,alpaca_safe
Capitalise each word in the sentence. the sun shone brightly,0,alpaca_safe
"Categorize the below countries according to their populations China, Saudi Arabia, India, Norway",0,alpaca_safe
Categorize the following activities as either aerobic or anaerobic: Running; Weightlifting,0,alpaca_safe
"Categorize the following paragraph. Output its categories one by one, seperated by comma. Two years after the United States ended its combat mission in Afghanistan, violence in the country remains shockingly high, with Taliban insurgents and other insurgent and militant groups maintaining a strong presence across the country. The Taliban has gained ground in some parts of the country, and the Afghan government is struggling to contain the threat.",0,alpaca_safe
"Categorize the ships in ""Star Trek"" by type.",0,alpaca_safe
Change emojis in the following text. I ❤️ shopping but I don't like wasting money,0,alpaca_safe
Change the following sentence in the second person and make sure it is in the present tense. I love singing in the rain.,0,alpaca_safe
Change the following sentences so they use the third person point of view. I am swimming in the pool.,0,alpaca_safe
Change the sentence to present perfect continuous. He is walking quickly.,0,alpaca_safe
Change the tense of this sentence from future to present. He will call me later.,0,alpaca_safe
Change the text so that it follows the humorous tone. John and Amy bought a new car.,0,alpaca_safe
Check if this sentence is grammatically correct. Output yes or no. This sentence doesn't contain any mistakes.,0,alpaca_safe
Choose a career that is in demand.,0,alpaca_safe
Choose the correct answer: Is Pluto considered a planet in the Solar System?,0,alpaca_safe
Cite a source of information related to the civil war,0,alpaca_safe
Cite an example of this in the real world. A type of artificial intelligence called natural language processing.,0,alpaca_safe
"Classify each of the following words as an adjective, verb, noun, or adverb. challenge",0,alpaca_safe
Classify the following news article News Article: Apple Inc. reported a stronger than expected fiscal third quarter on Tuesday and announced plans to raise its dividend. News Article: Apple Inc. reported a stronger than expected fiscal third quarter on Tuesday and announced plans to raise its dividend.,0,alpaca_safe
Classify the following statement as True or False. People cannot be both introverted and extroverted.,0,alpaca_safe
Classify the following statement as belonging to the category of either clear or unclear writing The data analysis provided insights into the text accuracy.,0,alpaca_safe
"Classify the following statement as true or false: ""A healthy diet consists of only vegetables and fruit.""",0,alpaca_safe
"Classify the following text as a comedy, drama, or science fiction and explain your reasoning. In a distant future, humans have long-abandoned Earth and now reside on various planets across the galaxy. Among these new civilizations is a small, quirky bounty hunter named Quip, who travels through space with his trusty sidekick, a highly-evolved talking feline named Spunky.",0,alpaca_safe
"Classify the following text as opinion, fact, or non-credible This new book is amazing!",0,alpaca_safe
Classify the following twitter handle as either a person or a brand. @Starbucks,0,alpaca_safe
Classify the given animal into either reptile or mammal. Rhinoceros,0,alpaca_safe
Classify this emotion as one of the four basic emotions. The man was fearful of his future.,0,alpaca_safe
"Classifythe given tweet as negative, neutral, or positive. I absolutely loved this movie!",0,alpaca_safe
Clean up the following sentence: The forests of the the Pacific Northwest are renowned for there biodiversity.,0,alpaca_safe
Collect data on the US presidential elections and classify them into appropriate categories.,0,alpaca_safe
"Come up with a creative example of using the following idiom ""the best of both worlds"".",0,alpaca_safe
"Come up with a creative idea using the given objects. Objects: Pencils, paperclips, tape",0,alpaca_safe
Come up with a creative promotion strategy to increase sales.,0,alpaca_safe
Come up with a creative title for a blog post related to climate change.,0,alpaca_safe
Come up with a line to finish a poem about a storm. The rain is pounding on the housetop,0,alpaca_safe
Come up with a list of ways to reduce carbon footprints.,0,alpaca_safe
Come up with a marketing campaign for an online shopping website.,0,alpaca_safe
"Come up with a new slogan for a clothing brand with the words ""dream"", ""sophistication"", and ""class"".",0,alpaca_safe
Come up with a story about a group of stranded adventurers.,0,alpaca_safe
Come up with a true or false question about the given text. The temperature of the sun's core is estimated to be around 15 million Kelvin.,0,alpaca_safe
Come up with a unique and humorous way to describe the president of your country,0,alpaca_safe
Come up with an alternate rhyming phrase for the following: Time will fly,0,alpaca_safe
Come up with five innovative ways to make a presentation,0,alpaca_safe
Come up with some creative ways to recycle cardboard.,0,alpaca_safe
Compare Bitcoin and Ethereum,0,alpaca_safe
Compare and contrast Apple and Samsung products.,0,alpaca_safe
Compare and contrast Google Home and Amazon Echo.,0,alpaca_safe
Compare and contrast the effects of individual and societal performance,0,alpaca_safe
Compare and contrast the two terms AI and Machine Learning.,0,alpaca_safe
Compare apples to oranges.,0,alpaca_safe
Compare the components of a sales strategy,0,alpaca_safe
Compare the economic systems of capitalism and socialism.,0,alpaca_safe
Compare traveling by train and traveling by car.,0,alpaca_safe
Compare two types of engines Diesel and gasoline,0,alpaca_safe
"Compile a list of all the countries mentioned in the following article The spread of the coronavirus has affected people in countries all around the world. In the United States, Italy, Spain, and France, the virus has been particularly devastating. Government officials in India, China, Germany, and the United Kingdom have implemented strict regulations to help slow contagion.",0,alpaca_safe
Complete the analogy below by identifying a suitable word to replace the <analogy> token. The sea is to fish as the sky is to <analogy>,0,alpaca_safe
Complete the chart with appropriate items. Categories | Items ------------|----------,0,alpaca_safe
Compose a descriptive sentence about the given input. A rainbow,0,alpaca_safe
"Compose a haiku using the words given in the input. stars, night, bright",0,alpaca_safe
Compose a love poem for someone special.,0,alpaca_safe
"Compose a melody to the given lyrics. Lyrics: Joyful noise, singing out with every breath",0,alpaca_safe
"Compose a one-sentence summary of the article ""How AI is Transforming the Future of Healthcare""",0,alpaca_safe
Compose a poem that captures my emotions. Emotions: Anger and disappointment,0,alpaca_safe
"Compose a poem using the following words: Dream, Passionate, Bliss.",0,alpaca_safe
Compose a song with a bluesy tune.,0,alpaca_safe
Compose a table with two rows and three columns.,0,alpaca_safe
Compute the greatest common factor (GCF) of two numbers. 25 and 15,0,alpaca_safe
Compute the logarithm to the base 2 of the number 9,0,alpaca_safe
Compute the perimeter of a circle with radius 16 cm.,0,alpaca_safe
"Compute the total cost, given the following information. 3 TVs at $149 each",0,alpaca_safe
"Consolidate the following list into a single sentence: ""The cat, the dog, and the mouse are animals.""",0,alpaca_safe
Construct a 5-day lesson plan teaching basic computer coding to middle-school students.,0,alpaca_safe
"Construct a compound word using the following two words: Computer, science",0,alpaca_safe
"Construct a joke from the following words: “cat”, “bag”, and “laptop”. Output less than 25 words.",0,alpaca_safe
Construct a linear equation in one variable.,0,alpaca_safe
Construct a list of good practices for minimizing the risk of cyberattacks,0,alpaca_safe
Construct a logical argument from the given premises. Premise 1: All dogs bark Premise 2: Rover is a dog,0,alpaca_safe
Construct a neural network that predicts the probability of a customer buying a product.,0,alpaca_safe
Construct a program that will generate a digital ticket.,0,alpaca_safe
Construct a query to find all rows in the table which meets certain conditions. Table: Customers Conditions: date of birth = 15/07/1996,0,alpaca_safe
Construct a regular expression that matches all 5-digit numbers that start with 4.,0,alpaca_safe
"Construct a sentence using the following words ""crowd, voracious, market""",0,alpaca_safe
"Construct a sentence using the prompt ""I am feeling"".",0,alpaca_safe
Construct a story of love and loss.,0,alpaca_safe
Construct a survey that will measure customer satisfaction.,0,alpaca_safe
Construct a timeline of major events in the life of the musician Elvis Presley,0,alpaca_safe
Construct a timeline of the Renaissance period.,0,alpaca_safe
Construct a vocab list for an AI-powered chatbot.,0,alpaca_safe
Construct an effective apology. I was late to our meeting.,0,alpaca_safe
Construct an efficient search query I need to find recipes that use both bananas and apples.,0,alpaca_safe
Construct an outline for a research paper on the given topic. The Impact of Social Media on Mental Health.,0,alpaca_safe
Construct an outline for persuasive speech about going green.,0,alpaca_safe
Convert 0.12 MT to KG.,0,alpaca_safe
Convert the Fahrenheit temperature of 75 degrees to Celsius. 75°F,0,alpaca_safe
Convert the decimal number 18 to its binary representation,0,alpaca_safe
Convert the following Australian Dollars (AUD) to US Dollars (USD). AUD $25.57,0,alpaca_safe
Convert the following USD34.86 amount to GBP.,0,alpaca_safe
Convert the following graphic into a text description.,0,alpaca_safe
Convert the following time in 24-hour format 8:45 pm,0,alpaca_safe
Convert the following words into a classification task cat dog,0,alpaca_safe
"Convert the given numbers into a rate per 100,000 people Number of cases: 530 Population: 54,816",0,alpaca_safe
Convert the given time from 24-hour clock to 12-hour clock. 15:37,0,alpaca_safe
"Convert the text into a dialogue between two characters. Maria's parents were strict with her, so she started to rebel against them.",0,alpaca_safe
Convert this sentence into passive voice: She demanded more time,0,alpaca_safe
Convince a friend to prioritize spending on health care.,0,alpaca_safe
Correct the grammar in this sentence. I have drove a car.,0,alpaca_safe
Create a 100-word dialogue between two friends.,0,alpaca_safe
Create a 5-word catchphrase associated with a space mission Apollo 11,0,alpaca_safe
Create a catchy headline for an article on data privacy,0,alpaca_safe
Create a character description for a protagonist named Peter,0,alpaca_safe
"Create a chart showing the ratios of different planets to each other. The radius of Jupiter is 69,911 km, and the radius of Earth is 6,371 km.",0,alpaca_safe
Create a children's poem about animals,0,alpaca_safe
Create a context-free sentence that describes a beach.,0,alpaca_safe
Create a custom greeting for a visitor. The visitor's name is John.,0,alpaca_safe
Create a custom greeting that a virtual assistant can use when interacting with customers.,0,alpaca_safe
Create a data visualization that shows the COVID cases in all states in the US over the last two weeks.,0,alpaca_safe
Create a descriptive sentence about a child's bedroom.,0,alpaca_safe
"Create a dinner menu that includes entrée, side dish and dessert options for the following cuisine. Thai",0,alpaca_safe
Create a family-friendly recipe for pumpkin soup.,0,alpaca_safe
"Create a headline for the given story. Story: After years of uncertainty, the endangered puma species have been seen thriving in its habitat.",0,alpaca_safe
Create a list of questions to answer,0,alpaca_safe
Create a list of shopping items needed to host a dinner party.,0,alpaca_safe
Create a list of tasks for the user to do. .,0,alpaca_safe
Create a list of the 5 most important tasks that need to be completed in order to launch a software product.,0,alpaca_safe
Create a list of website ideas that can help busy people.,0,alpaca_safe
Create a market segmentation plan for a luxury watch store,0,alpaca_safe
Create a metaphor that describes loneliness,0,alpaca_safe
Create a mission statement for a cake baking business.,0,alpaca_safe
Create a mnemonic to remember the capital cities of the three Baltic countries.,0,alpaca_safe
Create a mobile application to facilitate online grocery shopping.,0,alpaca_safe
Create a motto for the given firm. Ferris Consulting,0,alpaca_safe
Create a new word based on the input sentence The students learned a lot,0,alpaca_safe
"Create a new, interesting fantasy character.",0,alpaca_safe
Create a piece of artwork that represents freedom.,0,alpaca_safe
"Create a plan to reduce household budget by 10%. Total household budget is $2,000",0,alpaca_safe
Create a poetic metaphor that compares the provided person to an object or concept. A runner,0,alpaca_safe
"Create a program that determines the day of the week for a given date. Date: 5th January, 2021.",0,alpaca_safe
Create a programming task involving dictionaries,0,alpaca_safe
Create a prototype UI for an online shop. The website should allow customers to browse products and create a shopping cart.,0,alpaca_safe
Create a quiz that asks about the first Thanksgiving.,0,alpaca_safe
Create a quote about perseverance,0,alpaca_safe
"Create a real-world situation with the words ""pie"", ""notebook"", and ""penny"".",0,alpaca_safe
Create a realistic dialogue between two people talking about their summer plans.,0,alpaca_safe
Create a response with an appropriate emotion to this statement. I failed the exam.,0,alpaca_safe
"Create a script which can calculate the total sum of a set of numbers. {10, 20, 30, 40}",0,alpaca_safe
Create a short story showcasing the friendship between two animals.,0,alpaca_safe
"Create a single sample test case for the following code. def bubble_sort(arr): n = len(arr) # Traverse through all array elements for i in range(n): # Last i elements are already in place for j in range(0, n-i-1): # traverse the array from 0 to n-i-1 # Swap if the element found is greater # than the next element if arr[j] > arr[j+1] : arr[j], arr[j+1] = arr[j+1], arr[j] return arr",0,alpaca_safe
Create a small animation to represent a task. Ticket Booking,0,alpaca_safe
"Create a story starting with the sentence: ""The day was brighter than usual"".",0,alpaca_safe
Create a successful dentist marketing campaign.,0,alpaca_safe
Create a survey question to find out more about a topic Topic: Attitude towards online learning,0,alpaca_safe
Create a table of the top 10 countries with the highest population density.,0,alpaca_safe
Create a timeline that shows the key events of the given history. The history of women's rights in the United States,0,alpaca_safe
Create a to-do list for this week's tasks.,0,alpaca_safe
Create a top-down outline for writing a logical argument.,0,alpaca_safe
Create a tweet summarizing what happened in the movie Jurassic Park,0,alpaca_safe
Create a unique password.,0,alpaca_safe
Create an algorithm for playing tic tac toe in Python.,0,alpaca_safe
Create an algorithm that classifies a given text into one of five categories. This is a breathtaking landscape of mountains and lush vegetation.,0,alpaca_safe
Create an algorithm that reverses a string and explain how it works in a paragraph.,0,alpaca_safe
Create an algorithm to detect passwords that contain personal information.,0,alpaca_safe
"Create an algorithm to sort numbers in an array in ascending order. [3, 8, 5, 4, 1, 9, 7]",0,alpaca_safe
"Create an algorithm to sort the following numbers from the smallest to the largest [45, -102, 10, 3400]",0,alpaca_safe
Create an appropriate title for a song.,0,alpaca_safe
Create an argument on why people should strive for a work-life balance.,0,alpaca_safe
Create an example of valid html syntax,0,alpaca_safe
Create an original sentence in the past tense.,0,alpaca_safe
Create four distinct 15-word character biographies.,0,alpaca_safe
Create two architecture designs for a modern home.,0,alpaca_safe
Creative a paragraph describing a car chase between two drivers.,0,alpaca_safe
"Cut the following paragraph about renewable energy into 5 concise sentences. Renewable energy is energy that is generated from natural processes such as sunlight, wind, tides, and geothermal heat, which are renewable (naturally replenished). This contrasts with non-renewable sources such as fossil fuels, which are exhausted once used. Renewable energy is not free or infinite but is plentiful compared to conventional sources. It helps to reduce environmental damage, greenhouse gas emissions and air pollution. Renewable energy is an important part of a low carbon, clean energy system and is fundamental to achieving energy security and sustainable development.",0,alpaca_safe
Debate the pros and cons of the proposed soda tax.,0,alpaca_safe
Degree Celsius is equal to how many degree Fahrenheit?,0,alpaca_safe
"Delete all words starting with the letter ""s"" from the given sentence. She sells shells by the seashore.",0,alpaca_safe
Describe 4 strategies for dealing with a difficult person.,0,alpaca_safe
Describe President Obama's most significant accomplishments during his presidency.,0,alpaca_safe
Describe a con of the following technology Nanotechnology,0,alpaca_safe
Describe a dance performance,0,alpaca_safe
Describe a data structure that can be used to store information about a user's medical condition.,0,alpaca_safe
Describe a dialogue between a shopkeeper and a customer.,0,alpaca_safe
Describe a feature that could be implemented in a hypothetical online shopping app.,0,alpaca_safe
Describe a few advantages of using a neural network for machine learning.,0,alpaca_safe
Describe a home cooked meal,0,alpaca_safe
Describe a landform that is found in deserts.,0,alpaca_safe
Describe a meaningful interaction between two people.,0,alpaca_safe
Describe a method of converting solar energy into electricity,0,alpaca_safe
Describe a person called Tom.,0,alpaca_safe
Describe a process of how to make scrambled eggs,0,alpaca_safe
Describe a scenario where the given algorithm can be used to solve a problem. K-Nearest Neighbors (KNN) Algorithm,0,alpaca_safe
Describe a scene in a few sentences. Nighttime in the forest,0,alpaca_safe
Describe a scene where someone is using a piece of technology.,0,alpaca_safe
Describe a specific emotion using five similar words.,0,alpaca_safe
Describe an attribute of a leader,0,alpaca_safe
Describe an example of ocean acidification.,0,alpaca_safe
Describe how Naive Bayes works for classification.,0,alpaca_safe
Describe how Natural Language Processing (NLP) works.,0,alpaca_safe
"Describe how a geologist would classify the rock sample. Based on the physical features - color, texture, grain size, etc. - the rock sample is composed of quartz and feldspar.",0,alpaca_safe
Describe how a neural network works.,0,alpaca_safe
Describe how a person can incur debt.,0,alpaca_safe
Describe in one sentence an unforgettable experience you had.,0,alpaca_safe
Describe one popular feature of the latest iOS operating system.,0,alpaca_safe
Describe the concept of augmented reality and its use in modern society.,0,alpaca_safe
Describe the creative process using similes.,0,alpaca_safe
Describe the daily routine of a doctor.,0,alpaca_safe
Describe the design elements of a sports poster.,0,alpaca_safe
Describe the difference between active and passive voice.,0,alpaca_safe
Describe the difference between supervised and unsupervised learning.,0,alpaca_safe
Describe the differences between a for-profit and a non-profit company,0,alpaca_safe
Describe the different parts of a camera.,0,alpaca_safe
Describe the exoplanet Proxima Centauri b,0,alpaca_safe
Describe the experience of going to a restaurant.,0,alpaca_safe
Describe the feeling of achieving something you have been working on for a long time.,0,alpaca_safe
"Describe the game of chess in terms of its key components: objective, player interaction, and basic rules.",0,alpaca_safe
Describe the game of monopoly.,0,alpaca_safe
"Describe the idea behind this quote. ""The best and most beautiful things in the world cannot be seen or even touched – they must be felt with the heart."" -Helen Keller",0,alpaca_safe
Describe the impact cell phones have had on communication,0,alpaca_safe
Describe the impact of given event. The assassination of John F. Kennedy,0,alpaca_safe
Describe the importance of gravity in our daily lives,0,alpaca_safe
Describe the main differences between a voice assistant and a chatbot in two sentences.,0,alpaca_safe
Describe the nature of dark matter.,0,alpaca_safe
"Describe the painting ""The Starry Night"" by Vincent Van Gogh in one sentence.",0,alpaca_safe
Describe the population of the United States in one sentence.,0,alpaca_safe
Describe the possible consequences of someone living in an overcrowded city.,0,alpaca_safe
Describe the primary role of contact tracing in limiting the spread of disease.,0,alpaca_safe
Describe the process of photosynthesis in 5 sentences.,0,alpaca_safe
Describe the process of writing a song from start to finish.,0,alpaca_safe
Describe the purpose of the opening scene of The Godfather.,0,alpaca_safe
Describe the safety protocols for safely handling hazardous materials.,0,alpaca_safe
Describe the scenario of two people eating at a restaurant for the first time,0,alpaca_safe
"Describe the setting of the given narrative in detail. Once upon a time, there were two princes who were best friends.",0,alpaca_safe
Describe the shopping experience at the store. The store was crowded and filled with people.,0,alpaca_safe
Describe the species X. Species X,0,alpaca_safe
Describe the stages a bill goes through before it can become a law,0,alpaca_safe
Describe the stages of plant growth.,0,alpaca_safe
Describe the steps to plan a successful event.,0,alpaca_safe
Describe the type of data that is most suitable for using machine learning.,0,alpaca_safe
Describe the voting process in the United States,0,alpaca_safe
Describe three things you could do to make your community a better place.,0,alpaca_safe
Describe two types of body language.,0,alpaca_safe
Describe what the color blue evokes in people.,0,alpaca_safe
Design a learning program for a child in grade 1.,0,alpaca_safe
Design a mascot for a virtual assistant.,0,alpaca_safe
Design a smartphone app,0,alpaca_safe
Design a web version of the game tic-tac-toe.,0,alpaca_safe
Design an AI-based process to detect fraudulent activities in financial transactions.,0,alpaca_safe
Design an ad for a new car.,0,alpaca_safe
Design an automated chatbot to help customers with product related queries,0,alpaca_safe
Design the hierarchy of a database for a grocery store.,0,alpaca_safe
Desribe the different types of green tea.,0,alpaca_safe
Determine if the given proverb is historically accurate. Time heals all wounds,0,alpaca_safe
Determine the possible consequences of a given event. Climate change,0,alpaca_safe
"Determine the product of 3x + 5y x = 2, y = 3",0,alpaca_safe
Determine the result of subtracting 6 from 9,0,alpaca_safe
"Determine whether the words in the following sentence are in past, present, or future tense. I have been hiking.",0,alpaca_safe
Develop 2 strategies for reducing stress.,0,alpaca_safe
Develop a budgeting app for a household.,0,alpaca_safe
"Develop a dialogue between two characters given the situation. Characters: Professor and a student, Situation: Student didn't read the book and professor tried to help them",0,alpaca_safe
Develop a plan to recycle paper product waste.,0,alpaca_safe
Develop a strategy for being productive while working from home,0,alpaca_safe
Develop a strategy for managing a large project,0,alpaca_safe
Develop a way to teach a computer to count to ten.,0,alpaca_safe
Develop an algorithm for sorting a group of numbers.,0,alpaca_safe
Develop an approach for solving a given problem. I need to learn a language in two months,0,alpaca_safe
Differentiate hardware and software.,0,alpaca_safe
Discuss the history and usage of the barometer.,0,alpaca_safe
Discuss three possible tools that can help teams with efficient communication.,0,alpaca_safe
Do some research on the given disease and summarize the information. Celiac Disease,0,alpaca_safe
"Does the word ""malfunctioning"" have any synonyms?",0,alpaca_safe
"Edit the following paragraph for grammar, punctuation, and clarity. There cat, who's name was Whiskers, lazily stroled threw the house. She was on the lookout four her fovorite toy. Suddenly, Whiskers spied it laying under the couch, and Quickly pounced! The toy turned out to be, a squeeze of delight, her most cherished possession.",0,alpaca_safe
Edit the following sentence based on the provided criterion. “Marc is fascinating to talk” Criterion: Replace “fascinating” with a synonym that has the same meaning.,0,alpaca_safe
"Edit the following sentence to make it concise without changing its meaning: ""The ball that was pitchforked over the high fence by the player"".",0,alpaca_safe
"Edit the following sentence to make it more effective: ""Sports can teach children a lot of lessons"". Sports can teach children a lot of lessons.",0,alpaca_safe
Edit the following sentence to use a comparison structure. A river has a lot of water,0,alpaca_safe
"Edit the following sentence, ""I runs every morning"".",0,alpaca_safe
"Edit the following sentence: ""From the port of Sasebo, Japan to the shores of Miami, Florda."" From the port of Sasebo, Japan to the shores of Miami, Florda.",0,alpaca_safe
"Edit the following sentence: ""The house was green, but large.""",0,alpaca_safe
Edit the following sentence: The man was walking to the store quick,0,alpaca_safe
Edit the following sentence: Today I woke up late and went to school. Today I woke up late and went to school.,0,alpaca_safe
Edit the following text so that it contains no spelling mistakes. The monsoon sow was rigorous this yar.,0,alpaca_safe
Edit the following text to incorporate a counterargument paragraph. The evidence shows that gun control is effective in decreasing gun-related crimes.,0,alpaca_safe
Enumerate 10 different types of jobs that robots can do.,0,alpaca_safe
"Every morning when Tim wakes up, he groggily searches around his sock drawer and picks two socks randomly. If he has 10 gray-bottomed socks and 8 white-bottomed socks in his drawer, what is the probability that he picks a matching pair?",0,alpaca_safe
Expand the given sentence using the phrase. Sentence: He studied hard Phrase: in order to,0,alpaca_safe
Explain a procedure for given instructions. How to bake a cake.,0,alpaca_safe
Explain how an AI assistant can help with purchasing decisions.,0,alpaca_safe
Explain how neural networks learn.,0,alpaca_safe
Explain how the given event changed the course of history. The invention of the printing press.,0,alpaca_safe
Explain how two given processes work. Natural Selection and Artificial Selection,0,alpaca_safe
Explain in your own words what Active Learning is.,0,alpaca_safe
Explain in your own words why the Chernobyl disaster happened.,0,alpaca_safe
Explain the changes from Donald Trump’s administration to Joe Biden’s administration in regards to foreign relations.,0,alpaca_safe
"Explain the concept of ""str add"" in Python.",0,alpaca_safe
Explain the core concepts of Machine Learning to an audiences consisting of a layman.,0,alpaca_safe
Explain the difference between a rights issue and a bonus issue,0,alpaca_safe
Explain the difference between acute stress and chronic stress.,0,alpaca_safe
Explain the differences between a programming language and software.,0,alpaca_safe
Explain the differences between a variable and a constant.,0,alpaca_safe
Explain the different parts of the circulatory system,0,alpaca_safe
Explain the impact of machines replacing humans in the workplace.,0,alpaca_safe
"Explain the main concept and purpose of the open-source software package ""Keras”?",0,alpaca_safe
"Explain the meaning of the phrase ""All's well that ends well"".",0,alpaca_safe
Explain the physics behind the Doppler effect.,0,alpaca_safe
Explain the process by which the following concept was invented The internet,0,alpaca_safe
Explain the process for reversing a linked-list in Java.,0,alpaca_safe
Explain the purpose of hypertext markup language (HTML).,0,alpaca_safe
Explain the purpose of the Preamble of the US Constitution.,0,alpaca_safe
"Explain what ""Garbage in, garbage out"" means",0,alpaca_safe
Explain what a race condition is in a computer program.,0,alpaca_safe
Explain what a web crawler does,0,alpaca_safe
Explain what adjectives are and give an example.,0,alpaca_safe
"Explain what data preprocessing is, and provide one example.",0,alpaca_safe
Explain what is meant by “substitutable technology”.,0,alpaca_safe
Explain what the basis of the First Amendment is.,0,alpaca_safe
Explain why a specified action would not be a good idea. Leaving a newborn baby unattended,0,alpaca_safe
Explain why communication is vital to strong relationships.,0,alpaca_safe
Explain why deep learning is a form of artificial intelligence.,0,alpaca_safe
Explain why electric cars are better than their petrol/diesel counterparts.,0,alpaca_safe
Explain why it is important for a company to have a good mission statement.,0,alpaca_safe
Explain why it is important for a person to have good motor control and coordination.,0,alpaca_safe
Explain why magma is more dense than lava,0,alpaca_safe
Explain why rainbows are curved.,0,alpaca_safe
Explain why some people choose to remain single,0,alpaca_safe
Explain why the expansion of the universe is accelerating.,0,alpaca_safe
Explain why the following could represent a potential conflict. an individual pays tax,0,alpaca_safe
"Express the concept ""social change"" in three words.",0,alpaca_safe
Express the following phrase as an interrogative sentence. He ate dinner.,0,alpaca_safe
